interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect
as2dist2:Loopback0, 13, 0, 5, 7, 13, 35, 13, 7
as2dist1:GigabitEthernet0/0, 13, 0, 4, 7, 7, 20, 7, 1
as2border1:GigabitEthernet1/0, 13, 0, 8, 11, 13, 36, 13, 3
as1core1:GigabitEthernet0/0, 13, 0, 8, 11, 13, 37, 13, 4
as2border1:GigabitEthernet2/0, 13, 0, 5, 7, 13, 33, 13, 13
as2border2:GigabitEthernet2/0, 13, 0, 8, 11, 13, 35, 13, 3
as2core2:Loopback0, 13, 0, 5, 7, 13, 35, 13, 13
as1border1:Loopback0, 13, 0, 8, 11, 13, 38, 13, 6
as2dist1:GigabitEthernet1/0, 13, 0, 5, 7, 13, 34, 13, 1
as3core1:GigabitEthernet1/0, 13, 0, 9, 12, 13, 37, 13, 4
as2dist2:GigabitEthernet2/0, 13, 0, 5, 7, 13, 34, 13, 1
as1border1:GigabitEthernet0/0, 13, 0, 8, 10, 12, 35, 12, 4
as2core2:GigabitEthernet1/0, 13, 0, 5, 7, 13, 33, 13, 13
as3core1:Loopback0, 13, 0, 3, 4, 13, 28, 8, 8
as2border2:GigabitEthernet0/0, 13, 0, 8, 11, 13, 36, 13, 4
as1border2:GigabitEthernet0/0, 13, 0, 4, 6, 13, 33, 9, 0
as2dept1:GigabitEthernet2/0, 13, 0, 9, 13, 13, 37, 13, 0
as2dist2:GigabitEthernet0/0, 13, 0, 5, 7, 13, 34, 13, 1
as3border1:Loopback0, 13, 0, 3, 4, 13, 28, 8, 8
as2core2:GigabitEthernet3/0, 13, 0, 5, 7, 13, 34, 13, 13
as1border2:GigabitEthernet2/0, 13, 0, 3, 4, 12, 26, 8, 0
as2core1:Loopback0, 13, 0, 9, 13, 13, 37, 13, 0
as2core2:GigabitEthernet2/0, 13, 0, 5, 7, 13, 34, 13, 13
as3border1:GigabitEthernet0/0, 13, 0, 8, 10, 12, 34, 12, 4
as2core1:GigabitEthernet2/0, 13, 0, 5, 7, 13, 34, 13, 7
as2dept1:GigabitEthernet3/0, 13, 0, 9, 13, 13, 37, 13, 0
as3border1:GigabitEthernet1/0, 13, 0, 8, 11, 13, 35, 13, 4
as2dept1:GigabitEthernet1/0, 13, 0, 5, 7, 13, 34, 13, 0
as2border1:GigabitEthernet0/0, 13, 0, 8, 11, 13, 37, 13, 4
as2dist1:GigabitEthernet2/0, 13, 0, 5, 7, 13, 34, 13, 1
as2dept1:Loopback0, 13, 0, 3, 7, 13, 31, 9, 9
as1core1:GigabitEthernet1/0, 13, 0, 9, 12, 13, 37, 13, 4
as3border2:Loopback0, 13, 0, 3, 4, 13, 28, 8, 8
as2core1:GigabitEthernet1/0, 13, 0, 8, 11, 13, 35, 13, 3
as2core2:GigabitEthernet0/0, 13, 0, 5, 7, 13, 33, 13, 13
as1border2:Loopback0, 13, 0, 3, 4, 13, 30, 8, 8
as2border1:Loopback0, 13, 0, 8, 11, 13, 38, 13, 4
as2border2:GigabitEthernet1/0, 13, 0, 5, 7, 13, 33, 13, 13
as2dist2:GigabitEthernet1/0, 13, 0, 4, 7, 7, 21, 7, 1
as3border2:GigabitEthernet1/0, 13, 0, 4, 6, 11, 24, 7, 0
as2core1:GigabitEthernet3/0, 13, 0, 5, 7, 13, 34, 13, 7
as3core1:GigabitEthernet0/0, 13, 0, 8, 11, 13, 37, 13, 4
as3border2:GigabitEthernet0/0, 13, 0, 4, 6, 13, 33, 9, 0
as2dist1:Loopback0, 13, 0, 5, 7, 13, 35, 13, 7
as2dept1:GigabitEthernet0/0, 13, 0, 5, 7, 13, 34, 13, 0
as2border2:Loopback0, 13, 0, 8, 11, 13, 37, 13, 4
as2core1:GigabitEthernet0/0, 13, 0, 8, 11, 13, 36, 13, 3
as1border1:GigabitEthernet1/0, 13, 0, 8, 11, 13, 36, 13, 4
as1core1:Loopback0, 13, 0, 3, 4, 13, 30, 8, 8
as1border2:GigabitEthernet1/0, 13, 0, 4, 6, 11, 25, 7, 0
