interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect
as2dist2:Loopback0, 65, 0, 43, 48, 65, 45, 65, 48
as2dist1:GigabitEthernet0/0, 70, 0, 45, 53, 53, 37, 53, 29
as2border1:GigabitEthernet1/0, 60, 0, 58, 58, 60, 44, 60, 16
as1core1:GigabitEthernet0/0, 59, 0, 52, 57, 59, 34, 59, 32
as2border1:GigabitEthernet2/0, 70, 0, 53, 53, 70, 54, 70, 70
as2border2:GigabitEthernet2/0, 58, 0, 52, 56, 58, 38, 58, 19
as2core2:Loopback0, 65, 0, 43, 48, 65, 45, 65, 65
as1border1:Loopback0, 60, 0, 53, 58, 60, 35, 60, 35
as2dist1:GigabitEthernet1/0, 70, 0, 49, 53, 70, 54, 70, 5
as3core1:GigabitEthernet1/0, 62, 0, 57, 62, 62, 37, 62, 35
as2dist2:GigabitEthernet2/0, 70, 0, 48, 53, 70, 45, 70, 28
as1border1:GigabitEthernet0/0, 60, 0, 53, 58, 60, 35, 60, 32
as2core2:GigabitEthernet1/0, 70, 0, 53, 53, 70, 54, 70, 70
as3core1:Loopback0, 62, 0, 19, 21, 62, 33, 37, 37
as2border2:GigabitEthernet0/0, 66, 0, 59, 64, 66, 41, 66, 35
as1border2:GigabitEthernet0/0, 70, 0, 31, 35, 70, 45, 50, 0
as2dept1:GigabitEthernet2/0, 56, 0, 51, 56, 56, 31, 56, 0
as2dist2:GigabitEthernet0/0, 70, 0, 49, 53, 70, 54, 70, 5
as3border1:Loopback0, 64, 0, 21, 23, 64, 35, 39, 39
as2core2:GigabitEthernet3/0, 70, 0, 49, 53, 70, 54, 70, 70
as1border2:GigabitEthernet2/0, 67, 0, 18, 18, 67, 35, 47, 0
as2core1:Loopback0, 41, 0, 36, 41, 41, 21, 41, 0
as2core2:GigabitEthernet2/0, 70, 0, 49, 53, 70, 54, 70, 70
as3border1:GigabitEthernet0/0, 62, 0, 55, 60, 62, 37, 62, 35
as2core1:GigabitEthernet2/0, 70, 0, 49, 53, 70, 54, 70, 53
as2dept1:GigabitEthernet3/0, 56, 0, 51, 56, 56, 31, 56, 0
as3border1:GigabitEthernet1/0, 66, 0, 59, 64, 66, 41, 66, 35
as2dept1:GigabitEthernet1/0, 70, 0, 48, 53, 70, 45, 70, 0
as2border1:GigabitEthernet0/0, 68, 0, 61, 66, 68, 43, 68, 32
as2dist1:GigabitEthernet2/0, 70, 0, 48, 53, 70, 45, 70, 28
as2dept1:Loopback0, 70, 0, 38, 53, 70, 45, 55, 55
as1core1:GigabitEthernet1/0, 60, 0, 55, 60, 60, 35, 60, 32
as3border2:Loopback0, 66, 0, 23, 25, 66, 37, 41, 41
as2core1:GigabitEthernet1/0, 58, 0, 52, 56, 58, 38, 58, 19
as2core2:GigabitEthernet0/0, 70, 0, 49, 53, 70, 50, 70, 70
as1border2:Loopback0, 65, 0, 20, 22, 65, 40, 45, 45
as2border1:Loopback0, 61, 0, 59, 59, 61, 41, 61, 30
as2border2:GigabitEthernet1/0, 70, 0, 49, 53, 70, 50, 70, 70
as2dist2:GigabitEthernet1/0, 70, 0, 45, 53, 53, 37, 53, 29
as3border2:GigabitEthernet1/0, 64, 0, 25, 29, 64, 30, 44, 0
as2core1:GigabitEthernet3/0, 70, 0, 49, 53, 70, 54, 70, 53
as3core1:GigabitEthernet0/0, 64, 0, 57, 62, 64, 39, 64, 37
as3border2:GigabitEthernet0/0, 70, 0, 31, 35, 70, 45, 50, 0
as2dist1:Loopback0, 65, 0, 43, 48, 65, 45, 65, 48
as2dept1:GigabitEthernet0/0, 70, 0, 48, 53, 70, 45, 70, 0
as2border2:Loopback0, 64, 0, 57, 62, 64, 39, 64, 33
as2core1:GigabitEthernet0/0, 60, 0, 58, 58, 60, 44, 60, 16
as1border1:GigabitEthernet1/0, 68, 0, 61, 66, 68, 43, 68, 32
as1core1:Loopback0, 64, 0, 19, 21, 64, 39, 44, 44
as1border2:GigabitEthernet1/0, 59, 0, 20, 24, 54, 32, 34, 0
