interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed, # host exposed
as1border1:GigabitEthernet0/0, complete,15, base, 13, 1, 65, 60,13, 17
as1border1:GigabitEthernet0/0, complete,15, crystal-net, 10, 0, 51, 58,10, 15
as1border1:GigabitEthernet0/0, complete,15, empty, 0, 0, 0, 0,0, 0
as1border1:GigabitEthernet0/0, complete,15, heimdall, 12, 0, 61, 60,12, 0
as1border1:GigabitEthernet0/0, complete,15, heimdall_end_nodes, 12, 0, 61, 60,12, 17
as1border1:GigabitEthernet0/0, complete,15, heimdall_interface, 35, 0, 34, 35,34, 32
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect, 4, 0, 20, 32,4, 1
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect2, 12, 0, 61, 60,12, 17
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect3, 6, 0, 30, 42,6, 9
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect4, 10, 0, 52, 57,10, 13
as1border1:GigabitEthernet0/0, complete,15, neighbor, 8, 0, 41, 53,8, 0
as1border1:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 60,13, 17
as1border1:GigabitEthernet0/0, random-2,2, crystal-net, 2, 0, 9, 15,2, 2
as1border1:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0, 0
as1border1:GigabitEthernet0/0, random-2,2, heimdall, 11, 0, 56, 55,11, 9
as1border1:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 6, 0, 29, 35,6, 9
as1border1:GigabitEthernet0/0, random-2,2, heimdall_interface, 27, 0, 26, 35,26, 11
as1border1:GigabitEthernet0/0, random-2,2, heimdall_intersect, 6, 0, 29, 35,6, 8
as1border1:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 6, 0, 29, 35,6, 8
as1border1:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 9, 15,2, 0
as1border1:GigabitEthernet1/0, complete,15, base, 13, 1, 65, 68,13, 17
as1border1:GigabitEthernet1/0, complete,15, crystal-net, 11, 1, 55, 66,11, 15
as1border1:GigabitEthernet1/0, complete,15, empty, 0, 0, 0, 0,0, 0
as1border1:GigabitEthernet1/0, complete,15, heimdall, 13, 1, 65, 68,13, 17
as1border1:GigabitEthernet1/0, complete,15, heimdall_end_nodes, 13, 1, 65, 68,13, 17
as1border1:GigabitEthernet1/0, complete,15, heimdall_interface, 36, 0, 35, 43,35, 32
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect, 4, 0, 20, 32,4, 1
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect2, 13, 1, 65, 68,13, 17
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect3, 6, 0, 30, 42,6, 9
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect4, 10, 0, 52, 57,10, 13
as1border1:GigabitEthernet1/0, complete,15, neighbor, 8, 0, 41, 61,8, 0
as1border1:GigabitEthernet1/0, random-2,2, base, 13, 1, 65, 68,13, 17
as1border1:GigabitEthernet1/0, random-2,2, crystal-net, 2, 0, 9, 23,2, 2
as1border1:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0, 0
as1border1:GigabitEthernet1/0, random-2,2, heimdall, 12, 1, 60, 63,12, 9
as1border1:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 7, 1, 33, 43,7, 9
as1border1:GigabitEthernet1/0, random-2,2, heimdall_interface, 28, 0, 27, 43,27, 11
as1border1:GigabitEthernet1/0, random-2,2, heimdall_intersect, 7, 1, 33, 43,7, 8
as1border1:GigabitEthernet1/0, random-2,2, heimdall_intersect2, 7, 1, 33, 43,7, 8
as1border1:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 9, 23,2, 0
as1border1:Loopback0, complete,15, base, 13, 1, 65, 60,13, 17
as1border1:Loopback0, complete,15, crystal-net, 11, 1, 55, 58,11, 15
as1border1:Loopback0, complete,15, empty, 0, 0, 0, 0,0, 0
as1border1:Loopback0, complete,15, heimdall, 13, 1, 65, 60,13, 17
as1border1:Loopback0, complete,15, heimdall_end_nodes, 13, 1, 65, 60,13, 17
as1border1:Loopback0, complete,15, heimdall_interface, 38, 0, 37, 35,37, 32
as1border1:Loopback0, complete,15, heimdall_intersect, 6, 1, 28, 35,6, 1
as1border1:Loopback0, complete,15, heimdall_intersect2, 13, 1, 65, 60,13, 17
as1border1:Loopback0, complete,15, heimdall_intersect3, 8, 1, 38, 45,8, 9
as1border1:Loopback0, complete,15, heimdall_intersect4, 12, 1, 60, 60,12, 13
as1border1:Loopback0, complete,15, neighbor, 8, 0, 41, 53,8, 0
as1border1:Loopback0, random-2,2, base, 13, 1, 65, 60,13, 17
as1border1:Loopback0, random-2,2, crystal-net, 2, 0, 9, 15,2, 2
as1border1:Loopback0, random-2,2, empty, 0, 0, 0, 0,0, 0
as1border1:Loopback0, random-2,2, heimdall, 12, 1, 60, 55,12, 9
as1border1:Loopback0, random-2,2, heimdall_end_nodes, 7, 1, 33, 35,7, 9
as1border1:Loopback0, random-2,2, heimdall_interface, 28, 0, 27, 35,27, 11
as1border1:Loopback0, random-2,2, heimdall_intersect, 7, 1, 33, 35,7, 8
as1border1:Loopback0, random-2,2, heimdall_intersect2, 7, 1, 33, 35,7, 8
as1border1:Loopback0, random-2,2, neighbor, 2, 0, 9, 15,2, 0
as1border2:GigabitEthernet0/0, complete,5, base, 13, 1, 65, 70,13, 17
as1border2:GigabitEthernet0/0, complete,5, crystal-net, 6, 1, 27, 35,6, 5
as1border2:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0,0, 0
as1border2:GigabitEthernet0/0, complete,5, heimdall, 13, 1, 65, 70,13, 9
as1border2:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 9, 1, 43, 50,9, 9
as1border2:GigabitEthernet0/0, complete,5, heimdall_interface, 33, 0, 32, 45,32, 14
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect, 0, 0, 0, 0,0, 0
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect2, 9, 1, 43, 50,9, 9
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect3, 9, 1, 43, 50,9, 9
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect4, 9, 1, 43, 50,9, 9
as1border2:GigabitEthernet0/0, complete,5, neighbor, 4, 1, 19, 31,4, 0
as1border2:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 70,13, 17
as1border2:GigabitEthernet0/0, random-2,2, crystal-net, 4, 1, 19, 29,4, 2
